         39783905 function calls (39783804 primitive calls) in 131.384 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   194828    0.105    0.000    0.105    0.000 {method 'close' of 'xml.etree.ElementTree.XMLParser' objects}
        1    2.241    2.241    2.241    2.241 {method 'commit' of 'sqlite3.Connection' objects}
   556447    0.720    0.000    0.720    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   723309    0.269    0.000    0.269    0.000 {method 'end' of 're.Match' objects}
      108    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
   556447   24.992    0.000   24.992    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
   194828   11.980    0.000   11.980    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
   278862    0.731    0.000    0.731    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
       51    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
   246016    0.602    0.000    0.602    0.000 {method 'format' of 'str' objects}
  2169965    0.997    0.000    0.997    0.000 {method 'get' of 'dict' objects}
   723309    0.934    0.000    0.934    0.000 {method 'groupdict' of 're.Match' objects}
       16    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
    41307    0.025    0.000    0.025    0.000 {method 'insert' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  3525246    2.129    0.000    2.129    0.000 {method 'join' of 'str' objects}
   919314    0.382    0.000    0.382    0.000 {method 'keys' of 'dict' objects}
   723441    0.323    0.000    0.323    0.000 {method 'lower' of 'str' objects}
   723309    1.293    0.000    1.293    0.000 {method 'match' of 're.Pattern' objects}
       43    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
   196009    0.132    0.000    0.132    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
   194829    1.653    0.000    2.538    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
   723309    2.406    0.000    2.406    0.000 {method 'replace' of 'datetime.datetime' objects}
      112    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
  2437155    2.522    0.000    2.522    0.000 {method 'split' of 'str' objects}
       71    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
   723309    1.148    0.000    1.148    0.000 {method 'timestamp' of 'datetime.datetime' objects}
  1446619    0.573    0.000    0.573    0.000 {method 'toordinal' of 'datetime.date' objects}
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       43    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
   236413    0.200    0.000    0.200    0.000 {method 'update' of 'dict' objects}
   723309    0.282    0.000    0.282    0.000 {method 'weekday' of 'datetime.date' objects}


